Wilayah,Persentase Penduduk Miskin 2021,Persentase Penduduk Miskin 2022,Persentase Penduduk Miskin 2023,RLS 2021,RLS 2022,RLS 2023,Pengeluaran Per Kapita 2021,Pengeluaran Per Kapita 2022,Pengeluaran Per Kapita 2023,Sanitasi Layak 2021,Sanitasi Layak 2022,Sanitasi Layak 2023
Asmat,24.83,24.87,24.36,5.08,5.36,5.58,5736.0,5860.0,6057.0,31.34,29.48,20.46
Biak Numfor,24.45,24.48,23.53,10.34,10.53,10.54,9607.0,9788.0,10229.0,83.32,82.11,90.62
Boven Digoel,19.9,20.04,19.8,8.79,9.03,9.25,7864.0,8086.0,8396.0,61.71,62.93,70.08
Deiyai,40.59,40.31,38.66,3.25,3.26,3.27,4673.0,4808.0,5104.0,0.0,67.47,37.46
Dogiyai,28.81,29.48,29.2,4.94,4.96,4.97,5415.0,5705.0,6182.0,12.11,10.57,26.35
Fak Fak,22.86,22.06,21.38,8.97,9.08,9.17,7446.0,7678.0,7851.0,65.86,69.18,73.42
Intan Jaya,41.66,42.03,40.01,3.09,3.26,3.27,5328.0,5624.0,6140.0,0.36,8.84,10.76
Jayapura,12.13,11.94,11.45,10.05,10.27,10.32,9989.0,10230.0,10671.0,71.24,66.82,74.28
Jayawijaya,37.09,35.8,34.71,5.6,5.74,5.98,7545.0,7765.0,8159.0,23.7,26.82,29.07
Kaimana,16.04,15.29,14.57,8.58,8.74,8.8,8151.0,8453.0,8749.0,74.57,76.48,75.57
Keerom,16.0,15.77,15.68,8.02,8.31,8.57,8926.0,9153.0,9545.0,60.58,69.41,78.65
Kepulauan Yapen,26.09,26.15,25.89,9.47,9.69,9.7,7491.0,7685.0,8091.0,68.36,56.73,69.21
Kota Jayapura,11.39,11.12,10.5,11.57,11.74,11.84,14937.0,15189.0,15272.0,85.31,78.29,85.33
Kota Sorong,15.35,14.96,14.41,11.19,11.32,11.5,13744.0,13874.0,14133.0,90.73,77.83,83.56
Lanny Jaya,38.73,37.76,36.94,3.43,3.59,3.71,4393.0,4559.0,4751.0,2.51,0.73,1.59
Mamberamo Raya,28.78,30.73,29.63,5.87,6.12,6.28,4603.0,4806.0,5105.0,65.19,44.63,49.88
Mamberamo Tengah,36.76,35.92,35.42,3.33,3.48,3.63,4487.0,4630.0,4855.0,2.54,1.55,1.12
Manokwari,20.56,19.9,18.73,8.34,8.45,8.54,11977.0,12179.0,12566.0,86.9,82.58,86.54
Manokwari Selatan,29.3,28.55,27.8,6.63,6.9,6.96,5505.0,5691.0,5948.0,91.54,88.42,91.03
Mappi,26.05,26.04,25.72,6.51,6.78,6.95,6327.0,6550.0,6821.0,35.29,33.47,37.27
Maybrat,31.39,31.14,30.28,6.96,7.19,7.32,5245.0,5425.0,5669.0,70.49,68.23,63.68
Merauke,10.16,10.1,10.01,8.73,9.04,9.25,10201.0,10424.0,10747.0,82.1,72.86,81.96
Mimika,14.17,14.28,13.55,10.18,10.2,10.47,11400.0,11647.0,12076.0,83.63,80.46,77.34
Nabire,23.83,23.9,23.35,10.01,10.16,10.33,8856.0,9040.0,9381.0,85.73,85.51,88.6
Nduga *,37.18,36.73,37.09,1.42,1.58,1.71,3976.0,4190.0,4352.0,4.35,5.35,6.5
Paniai,36.59,36.63,35.39,4.77,4.78,4.79,6377.0,6554.0,6977.0,0.26,32.07,40.63
Pegunungan Arfak,34.7,33.71,32.29,5.12,5.34,5.51,5009.0,5204.0,5438.0,45.21,34.98,30.98
Pegunungan Bintang,30.46,30.32,29.79,3.04,3.23,3.37,5429.0,5618.0,5849.0,31.28,28.26,21.05
Puncak,36.26,36.25,36.44,2.16,2.17,2.19,5412.0,5583.0,5975.0,11.43,11.51,1.84
Puncak Jaya,36.0,36.3,35.6,3.74,4.03,4.23,5289.0,5422.0,5731.0,15.79,12.42,8.99
Raja Ampat,17.5,17.32,16.76,8.02,8.16,8.24,7882.0,8187.0,8483.0,55.11,56.57,60.39
Sarmi,13.84,13.76,13.21,8.83,9.15,9.36,6617.0,6864.0,7204.0,68.36,63.62,76.48
Sorong,27.78,27.58,26.88,8.33,8.52,8.61,7350.0,7607.0,7984.0,84.26,87.93,91.12
Sorong Selatan,18.55,18.48,18.11,7.49,7.58,7.62,6188.0,6342.0,6727.0,41.0,33.74,38.09
Supiori,37.91,37.7,36.99,8.87,9.09,9.2,5708.0,5904.0,6259.0,80.32,73.29,73.86
Tambrauw,33.86,32.45,31.23,5.39,5.64,5.71,4903.0,5084.0,5302.0,69.75,83.29,76.12
Teluk Bintuni,29.79,29.73,28.24,8.22,8.35,8.51,9708.0,9979.0,10324.0,77.45,78.56,75.52
Teluk Wondama,31.61,30.06,28.9,7.08,7.2,7.27,8034.0,8177.0,8490.0,61.1,53.0,54.53
Tolikara,32.6,31.31,31.57,3.65,3.67,3.68,4841.0,5079.0,5397.0,3.24,2.13,1.68
Waropen,29.85,30.22,29.16,9.21,9.4,9.41,6788.0,6919.0,7335.0,84.68,83.29,76.29
Yahukimo,37.64,36.21,36.08,4.27,4.28,4.34,4895.0,5101.0,5351.0,13.09,11.99,12.15
Yalimo,33.25,31.68,30.97,3.01,3.19,3.34,4664.0,4802.0,5015.0,0.48,0.6,0.48
