Wilayah,2021,2022,2023
Asmat,5736.0,5860.0,6057.0
Biak Numfor,9607.0,9788.0,10229.0
Boven Digoel,7864.0,8086.0,8396.0
Deiyai,4673.0,4808.0,5104.0
Dogiyai,5415.0,5705.0,6182.0
Fak Fak,7446.0,7678.0,7851.0
Intan Jaya,5328.0,5624.0,6140.0
Jayapura,9989.0,10230.0,10671.0
Jayawijaya,7545.0,7765.0,8159.0
Kaimana,8151.0,8453.0,8749.0
Keerom,8926.0,9153.0,9545.0
Kepulauan Yapen,7491.0,7685.0,8091.0
Kota Jayapura,14937.0,15189.0,15272.0
Kota Sorong,13744.0,13874.0,14133.0
Lanny Jaya,4393.0,4559.0,4751.0
Mamberamo Raya,4603.0,4806.0,5105.0
Mamberamo Tengah,4487.0,4630.0,4855.0
Manokwari,11977.0,12179.0,12566.0
Manokwari Selatan,5505.0,5691.0,5948.0
Mappi,6327.0,6550.0,6821.0
Maybrat,5245.0,5425.0,5669.0
Merauke,10201.0,10424.0,10747.0
Mimika,11400.0,11647.0,12076.0
Nabire,8856.0,9040.0,9381.0
Nduga,3976.0,4190.0,4352.0
Paniai,6377.0,6554.0,6977.0
Pegunungan Arfak,5009.0,5204.0,5438.0
Pegunungan Bintang,5429.0,5618.0,5849.0
Puncak,5412.0,5583.0,5975.0
Puncak Jaya,5289.0,5422.0,5731.0
Raja Ampat,7882.0,8187.0,8483.0
Sarmi,6617.0,6864.0,7204.0
Sorong,7350.0,7607.0,7984.0
Sorong Selatan,6188.0,6342.0,6727.0
Supiori,5708.0,5904.0,6259.0
Tambrauw,4903.0,5084.0,5302.0
Teluk Bintuni,9708.0,9979.0,10324.0
Teluk Wondama,8034.0,8177.0,8490.0
Tolikara,4841.0,5079.0,5397.0
Waropen,6788.0,6919.0,7335.0
Yahukimo,4895.0,5101.0,5351.0
Yalimo,4664.0,4802.0,5015.0
