Wilayah,2021,2022,2023
Asmat,24.83,24.87,24.36
Biak Numfor,24.45,24.48,23.53
Boven Digoel,19.9,20.04,19.8
Deiyai,40.59,40.31,38.66
Dogiyai,28.81,29.48,29.2
Fak Fak,22.86,22.06,21.38
Intan Jaya,41.66,42.03,40.01
Jayapura,12.13,11.94,11.45
Jayawijaya,37.09,35.8,34.71
Kaimana,16.04,15.29,14.57
Keerom,16.0,15.77,15.68
Kepulauan Yapen,26.09,26.15,25.89
Kota Jayapura,11.39,11.12,10.5
Kota Sorong,15.35,14.96,14.41
Lanny Jaya,38.73,37.76,36.94
Mamberamo Raya,28.78,30.73,29.63
Mamberamo Tengah,36.76,35.92,35.42
Manokwari,20.56,19.9,18.73
Manokwari Selatan,29.3,28.55,27.8
Mappi,26.05,26.04,25.72
Maybrat,31.39,31.14,30.28
Merauke,10.16,10.1,10.01
Mimika,14.17,14.28,13.55
Nabire,23.83,23.9,23.35
Nduga,37.18,36.73,37.09
Paniai,36.59,36.63,35.39
Pegunungan Arfak,34.7,33.71,32.29
Pegunungan Bintang,30.46,30.32,29.79
Puncak,36.26,36.25,36.44
Puncak Jaya,36.0,36.3,35.6
Raja Ampat,17.5,17.32,16.76
Sarmi,13.84,13.76,13.21
Sorong,27.78,27.58,26.88
Sorong Selatan,18.55,18.48,18.11
Supiori,37.91,37.7,36.99
Tambrauw,33.86,32.45,31.23
Teluk Bintuni,29.79,29.73,28.24
Teluk Wondama,31.61,30.06,28.9
Tolikara,32.6,31.31,31.57
Waropen,29.85,30.22,29.16
Yahukimo,37.64,36.21,36.08
Yalimo,33.25,31.68,30.97
