Wilayah,2021,2022,2023,Rata_Rata
Intan Jaya,41.66,42.03,40.01,41.23333333333333
Deiyai,40.59,40.31,38.66,39.85333333333333
Lanny Jaya,38.73,37.76,36.94,37.809999999999995
Supiori,37.91,37.7,36.99,37.53333333333333
Nduga,37.18,36.73,37.09,37.0
Yahukimo,37.64,36.21,36.08,36.64333333333333
Puncak,36.26,36.25,36.44,36.31666666666666
Paniai,36.59,36.63,35.39,36.20333333333333
Mamberamo Tengah,36.76,35.92,35.42,36.03333333333334
Puncak Jaya,36.0,36.3,35.6,35.96666666666667
Jayawijaya,37.09,35.8,34.71,35.86666666666667
Pegunungan Arfak,34.7,33.71,32.29,33.56666666666666
Tambrauw,33.86,32.45,31.23,32.513333333333335
Yalimo,33.25,31.68,30.97,31.96666666666667
Tolikara,32.6,31.31,31.57,31.826666666666664
Maybrat,31.39,31.14,30.28,30.936666666666667
Teluk Wondama,31.61,30.06,28.9,30.189999999999998
Pegunungan Bintang,30.46,30.32,29.79,30.189999999999998
Waropen,29.85,30.22,29.16,29.743333333333336
Mamberamo Raya,28.78,30.73,29.63,29.713333333333335
Teluk Bintuni,29.79,29.73,28.24,29.25333333333333
Dogiyai,28.81,29.48,29.2,29.16333333333333
Manokwari Selatan,29.3,28.55,27.8,28.55
Sorong,27.78,27.58,26.88,27.41333333333333
Kepulauan Yapen,26.09,26.15,25.89,26.043333333333333
Mappi,26.05,26.04,25.72,25.936666666666667
Asmat,24.83,24.87,24.36,24.686666666666667
Biak Numfor,24.45,24.48,23.53,24.153333333333336
Nabire,23.83,23.9,23.35,23.69333333333333
Fak Fak,22.86,22.06,21.38,22.099999999999998
Boven Digoel,19.9,20.04,19.8,19.91333333333333
Manokwari,20.56,19.9,18.73,19.73
Sorong Selatan,18.55,18.48,18.11,18.38
Raja Ampat,17.5,17.32,16.76,17.19333333333333
Keerom,16.0,15.77,15.68,15.816666666666668
Kaimana,16.04,15.29,14.57,15.299999999999999
Kota Sorong,15.35,14.96,14.41,14.906666666666666
Mimika,14.17,14.28,13.55,14.0
Sarmi,13.84,13.76,13.21,13.603333333333333
Jayapura,12.13,11.94,11.45,11.839999999999998
Kota Jayapura,11.39,11.12,10.5,11.003333333333332
Merauke,10.16,10.1,10.01,10.089999999999998
