Wilayah,2021,2022,2023
Asmat,5.08,5.36,5.58
Biak Numfor,10.34,10.53,10.54
Boven Digoel,8.79,9.03,9.25
Deiyai,3.25,3.26,3.27
Dogiyai,4.94,4.96,4.97
Fak Fak,8.97,9.08,9.17
Intan Jaya,3.09,3.26,3.27
Jayapura,10.05,10.27,10.32
Jayawijaya,5.6,5.74,5.98
Kaimana,8.58,8.74,8.8
Keerom,8.02,8.31,8.57
Kepulauan Yapen,9.47,9.69,9.7
Kota Jayapura,11.57,11.74,11.84
Kota Sorong,11.19,11.32,11.5
Lanny Jaya,3.43,3.59,3.71
Mamberamo Raya,5.87,6.12,6.28
Mamberamo Tengah,3.33,3.48,3.63
Manokwari,8.34,8.45,8.54
Manokwari Selatan,6.63,6.9,6.96
Mappi,6.51,6.78,6.95
Maybrat,6.96,7.19,7.32
Merauke,8.73,9.04,9.25
Mimika,10.18,10.2,10.47
Nabire,10.01,10.16,10.33
Nduga,1.42,1.58,1.71
Paniai,4.77,4.78,4.79
Pegunungan Arfak,5.12,5.34,5.51
Pegunungan Bintang,3.04,3.23,3.37
Puncak,2.16,2.17,2.19
Puncak Jaya,3.74,4.03,4.23
Raja Ampat,8.02,8.16,8.24
Sarmi,8.83,9.15,9.36
Sorong,8.33,8.52,8.61
Sorong Selatan,7.49,7.58,7.62
Supiori,8.87,9.09,9.2
Tambrauw,5.39,5.64,5.71
Teluk Bintuni,8.22,8.35,8.51
Teluk Wondama,7.08,7.2,7.27
Tolikara,3.65,3.67,3.68
Waropen,9.21,9.4,9.41
Yahukimo,4.27,4.28,4.34
Yalimo,3.01,3.19,3.34
