Wilayah,2021,2022,2023
Asmat,31.34,29.48,20.46
Biak Numfor,83.32,82.11,90.62
Boven Digoel,61.71,62.93,70.08
Deiyai,0.0,67.47,37.46
Dogiyai,12.11,10.57,26.35
Fak Fak,65.86,69.18,73.42
Intan Jaya,0.36,8.84,10.76
Jayapura,71.24,66.82,74.28
Jayawijaya,23.7,26.82,29.07
Kaimana,74.57,76.48,75.57
Keerom,60.58,69.41,78.65
Kepulauan Yapen,68.36,56.73,69.21
Kota Jayapura,85.31,78.29,85.33
Kota Sorong,90.73,77.83,83.56
Lanny Jaya,2.51,0.73,1.59
Mamberamo Raya,65.19,44.63,49.88
Mamberamo Tengah,2.54,1.55,1.12
Manokwari,86.9,82.58,86.54
Manokwari Selatan,91.54,88.42,91.03
Mappi,35.29,33.47,37.27
Maybrat,70.49,68.23,63.68
Merauke,82.1,72.86,81.96
Mimika,83.63,80.46,77.34
Nabire,85.73,85.51,88.6
Nduga,4.35,5.35,6.5
Paniai,0.26,32.07,40.63
Pegunungan Arfak,45.21,34.98,30.98
Pegunungan Bintang,31.28,28.26,21.05
Puncak,11.43,11.51,1.84
Puncak Jaya,15.79,12.42,8.99
Raja Ampat,55.11,56.57,60.39
Sarmi,68.36,63.62,76.48
Sorong,84.26,87.93,91.12
Sorong Selatan,41.0,33.74,38.09
Supiori,80.32,73.29,73.86
Tambrauw,69.75,83.29,76.12
Teluk Bintuni,77.45,78.56,75.52
Teluk Wondama,61.1,53.0,54.53
Tolikara,3.24,2.13,1.68
Waropen,84.68,83.29,76.29
Yahukimo,13.09,11.99,12.15
Yalimo,0.48,0.6,0.48
